age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,month_of_birth
20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,8375,3
25,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,6849,0,50,United-States,7279,10
35,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,50,Jamaica,23364,12
39,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,30,United-States,16570,1
34,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,50,United-States,48678,11
39,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,46409,2
23,State-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,26736,10
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,73097,9
39,Private,Preschool,1,Never-married,Other-service,Not-in-family,White,Female,0,0,12,United-States,25437,2
27,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,25,,34122,9
57,Local-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,57355,5
20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,43037,9
33,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,55,United-States,6242,4
46,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,16878,1
46,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,1977,60,United-States,67599,11
18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,2207,11
36,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,21311,6
55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,3489,7
18,,Some-college,10,Never-married,,Own-child,White,Male,0,0,45,United-States,8893,6
53,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,51682,9
52,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,100904,2
39,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,70871,3
33,Private,HS-grad,9,Separated,Protective-serv,Own-child,White,Female,0,0,40,United-States,11928,8
30,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,35634,2
47,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,18563,6
38,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,16304,7
27,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,3807,12
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Hungary,67823,9
65,Private,9th,5,Widowed,Sales,Not-in-family,White,Female,0,0,38,United-States,26720,8
53,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,45,United-States,55921,10
40,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,14962,1
37,Federal-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,12970,12
59,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,50,Philippines,63958,8
55,Private,9th,5,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,23,United-States,9652,5
49,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,70517,2
48,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,63795,7
30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,40,Greece,50230,8
39,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,8962,10
40,State-gov,Masters,14,Never-married,Craft-repair,Not-in-family,White,Male,0,0,80,United-States,35746,5
38,Private,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Male,27828,0,45,United-States,94400,3
19,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,21259,3
23,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,25,United-States,3699,8
71,Self-emp-not-inc,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,44246,4
63,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,38848,5
42,State-gov,Some-college,10,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,17820,8
27,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,33596,8
54,Self-emp-not-inc,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,14369,9
17,,10th,6,Never-married,,Own-child,White,Female,0,0,20,United-States,1431,8
39,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,30475,8
32,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,28698,8
34,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,80,United-States,16654,9
24,Private,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,16,United-States,19851,12
54,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,,62958,7
37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,30332,3
30,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,9415,8
32,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,47,United-States,14231,7
51,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,42296,7
22,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,32811,6
68,Private,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,35,United-States,69818,6
26,Private,10th,6,Married-civ-spouse,Craft-repair,Own-child,Black,Male,0,0,40,United-States,34283,12
23,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,55,Ireland,41143,8
45,Private,Assoc-acdm,12,Divorced,Transport-moving,Not-in-family,White,Male,0,0,55,United-States,4724,6
55,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,10,,104343,9
36,Federal-gov,Some-college,10,Separated,Adm-clerical,Not-in-family,Black,Male,0,0,40,United-States,43653,8
31,Federal-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,72,United-States,10972,7
49,,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0,0,99,United-States,28037,6
40,Private,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,1669,40,United-States,34141,2
58,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,70091,8
62,Private,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,62958,6
30,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,15358,2
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,27197,4
45,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,9120,3
62,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,67609,4
27,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,4863,9
25,Private,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,35124,12
28,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,20,United-States,8711,2
41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,15,United-States,10858,7
37,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,70382,10
27,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,16290,6
67,Private,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,32,United-States,13960,6
39,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,32450,5
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,5013,0,50,United-States,30975,12
39,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,53420,2
49,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,36885,12
20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,5616,12
28,Private,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,6142,10
41,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,15,United-States,37466,2
27,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,30532,2
43,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,50,South,24612,1
55,,HS-grad,9,Married-civ-spouse,,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,43052,5
44,Private,Some-college,10,Married-spouse-absent,Craft-repair,Unmarried,White,Female,1506,0,45,United-States,14798,8
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,36837,8
30,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,48,United-States,9381,9
32,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,74860,10
43,Private,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,27369,1
28,Local-gov,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Male,0,0,40,Haiti,16427,1
46,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,16940,2
31,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,38,United-States,69259,2
49,Local-gov,11th,7,Divorced,Other-service,Own-child,White,Female,0,0,60,United-States,8115,11
20,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,42989,7
51,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,94558,11
44,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,12,,2141,7
33,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,46256,10
46,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,28356,3
68,Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Unmarried,White,Male,0,0,20,United-States,10546,10
40,Private,HS-grad,9,Widowed,Machine-op-inspct,Own-child,White,Female,0,0,30,United-States,13627,11
36,Private,Assoc-acdm,12,Separated,Other-service,Unmarried,Black,Female,0,0,32,United-States,11121,7
33,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,43050,3
41,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1887,55,United-States,56519,12
30,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,35967,6
38,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,5721,0,44,United-States,24736,10
22,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,22491,3
45,State-gov,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,50258,5
59,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,31211,10
31,Private,1st-4th,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,37,Mexico,30486,3
47,,HS-grad,9,Never-married,,Other-relative,White,Female,0,0,50,,16221,5
22,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,49191,6
31,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,4982,5
34,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,42,United-States,42457,3
46,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,14394,6
32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-States,70200,3
36,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,1741,40,United-States,35364,3
52,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,17840,1
73,Private,7th-8th,4,Widowed,Priv-house-serv,Unmarried,Black,Female,1264,0,10,United-States,17382,10
21,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,22935,1
28,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,9254,8
22,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,44,United-States,10974,7
33,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,4957,7
54,Private,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,43,United-States,21608,10
22,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,16687,11
44,State-gov,Some-college,10,Separated,Tech-support,Own-child,Black,Female,0,0,40,United-States,9725,7
23,Private,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0,0,50,United-States,40202,8
21,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,12802,1
46,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,4787,0,25,United-States,80348,3
39,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,56035,9
70,,Assoc-voc,11,Widowed,,Unmarried,White,Female,0,0,35,United-States,18998,2
29,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,29012,9
42,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,46,United-States,16903,5
20,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,7018,9
36,Self-emp-not-inc,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,0,0,16,United-States,30999,2
45,Federal-gov,HS-grad,9,Never-married,Transport-moving,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,23696,5
56,,Masters,14,Never-married,,Not-in-family,White,Female,0,0,50,United-States,55780,5
59,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,31713,11
27,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,12534,2
36,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,55596,3
