session_id,source_session,variant_id,week_index,start_scale,end_scale,angle_bias_deg,noise_std_deg
synth_session_2026-02-23_213644_v02_w04,session_2026-02-23_213644,2,4,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w05,session_2026-02-23_213644,2,5,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w06,session_2026-02-23_213644,2,6,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w07,session_2026-02-23_213644,2,7,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w08,session_2026-02-23_213644,2,8,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w09,session_2026-02-23_213644,2,9,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w10,session_2026-02-23_213644,2,10,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v02_w11,session_2026-02-23_213644,2,11,0.7995505711189634,0.9452414210952684,-7.841593798450397,1.6223983490062064
synth_session_2026-02-23_213644_v03_w00,session_2026-02-23_213644,3,0,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w01,session_2026-02-23_213644,3,1,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w02,session_2026-02-23_213644,3,2,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w03,session_2026-02-23_213644,3,3,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w04,session_2026-02-23_213644,3,4,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w05,session_2026-02-23_213644,3,5,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w06,session_2026-02-23_213644,3,6,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w07,session_2026-02-23_213644,3,7,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w08,session_2026-02-23_213644,3,8,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w09,session_2026-02-23_213644,3,9,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w10,session_2026-02-23_213644,3,10,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v03_w11,session_2026-02-23_213644,3,11,0.4754277966396349,0.9014648865370036,-3.9753015782779126,2.0361061173589396
synth_session_2026-02-23_213644_v04_w00,session_2026-02-23_213644,4,0,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w01,session_2026-02-23_213644,4,1,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w02,session_2026-02-23_213644,4,2,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w03,session_2026-02-23_213644,4,3,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w04,session_2026-02-23_213644,4,4,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w05,session_2026-02-23_213644,4,5,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w06,session_2026-02-23_213644,4,6,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w07,session_2026-02-23_213644,4,7,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w08,session_2026-02-23_213644,4,8,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w09,session_2026-02-23_213644,4,9,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w10,session_2026-02-23_213644,4,10,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v04_w11,session_2026-02-23_213644,4,11,0.5990933213109682,0.8622951901806362,-6.524762607306588,1.5599525938498955
synth_session_2026-02-23_213644_v05_w00,session_2026-02-23_213644,5,0,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w01,session_2026-02-23_213644,5,1,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w02,session_2026-02-23_213644,5,2,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w03,session_2026-02-23_213644,5,3,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w04,session_2026-02-23_213644,5,4,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w05,session_2026-02-23_213644,5,5,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w06,session_2026-02-23_213644,5,6,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w07,session_2026-02-23_213644,5,7,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w08,session_2026-02-23_213644,5,8,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w09,session_2026-02-23_213644,5,9,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w10,session_2026-02-23_213644,5,10,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v05_w11,session_2026-02-23_213644,5,11,0.6399875581917951,0.9165898552291031,-6.525947338667201,1.582021055395057
synth_session_2026-02-23_213644_v06_w00,session_2026-02-23_213644,6,0,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w01,session_2026-02-23_213644,6,1,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w02,session_2026-02-23_213644,6,2,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w03,session_2026-02-23_213644,6,3,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w04,session_2026-02-23_213644,6,4,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w05,session_2026-02-23_213644,6,5,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w06,session_2026-02-23_213644,6,6,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w07,session_2026-02-23_213644,6,7,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w08,session_2026-02-23_213644,6,8,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w09,session_2026-02-23_213644,6,9,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w10,session_2026-02-23_213644,6,10,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v06_w11,session_2026-02-23_213644,6,11,0.5849214595465416,0.9610397994358324,0.5288549038679058,1.5058134114277852
synth_session_2026-02-23_213644_v07_w00,session_2026-02-23_213644,7,0,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w01,session_2026-02-23_213644,7,1,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w02,session_2026-02-23_213644,7,2,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w03,session_2026-02-23_213644,7,3,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w04,session_2026-02-23_213644,7,4,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w05,session_2026-02-23_213644,7,5,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w06,session_2026-02-23_213644,7,6,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w07,session_2026-02-23_213644,7,7,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w08,session_2026-02-23_213644,7,8,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w09,session_2026-02-23_213644,7,9,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w10,session_2026-02-23_213644,7,10,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v07_w11,session_2026-02-23_213644,7,11,0.6502756113004219,0.9655529629436747,-0.1347586719849332,2.1147695889692266
synth_session_2026-02-23_213644_v08_w00,session_2026-02-23_213644,8,0,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w01,session_2026-02-23_213644,8,1,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w02,session_2026-02-23_213644,8,2,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w03,session_2026-02-23_213644,8,3,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w04,session_2026-02-23_213644,8,4,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w05,session_2026-02-23_213644,8,5,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w06,session_2026-02-23_213644,8,6,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w07,session_2026-02-23_213644,8,7,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w08,session_2026-02-23_213644,8,8,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w09,session_2026-02-23_213644,8,9,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w10,session_2026-02-23_213644,8,10,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
synth_session_2026-02-23_213644_v08_w11,session_2026-02-23_213644,8,11,0.724151975946038,0.8515677471919971,-2.444744077821511,2.120491901906422
